ID,Date,Feeding_Time,Pellet_Cake,Fish_Prawn,Swimming_Eratically,Body_Coloration,Rubbing,Remarks
MGC1,1/7/22,AM,0,0,0,0,,
MGC1,1/7/22,PM,0,0,0,0,,
MGC2,1/7/22,AM,0,1,0,0,,
MGC2,1/7/22,PM,0,1,0,0,,
MGC3,1/7/22,AM,0,1,0,0,,
MGC3,1/7/22,PM,0,1,0,0,,
MGC4,1/7/22,AM,0,1,0,0,,
MGC4,1/7/22,PM,1,1,0,0,,
MGC5,1/7/22,AM,0,1,0,0,,
MGC5,1/7/22,PM,1,1,0,0,,
MGC6,1/7/22,AM,1,1,0,0,,
MGC6,1/7/22,PM,0,0,0,0,,
MGC1,2/7/22,AM,0,0,0,0,,
MGC1,2/7/22,PM,0,0,0,0,,
MGC2,2/7/22,AM,0,1,0,0,,
MGC2,2/7/22,PM,1,1,0,0,,
MGC3,2/7/22,AM,0,1,0,0,,
MGC3,2/7/22,PM,0,1,0,0,,
MGC4,2/7/22,AM,0,1,0,0,,
MGC4,2/7/22,PM,1,1,0,0,,
MGC5,2/7/22,AM,0,1,0,0,,
MGC5,2/7/22,PM,1,1,0,0,,
MGC6,2/7/22,AM,0,1,0,0,,
MGC6,2/7/22,PM,1,0,0,0,,
MGC1,3/7/22,AM,0,0,0,0,,
MGC1,3/7/22,PM,0,0,0,0,,
MGC2,3/7/22,AM,1,1,0,0,,
MGC2,3/7/22,PM,1,0,0,0,,
MGC3,3/7/22,AM,0,1,0,0,,
MGC3,3/7/22,PM,1,1,0,0,,
MGC4,3/7/22,AM,1,1,0,0,,
MGC4,3/7/22,PM,1,1,0,0,,
MGC5,3/7/22,AM,1,1,0,0,,
MGC5,3/7/22,PM,1,1,0,0,,
MGC6,3/7/22,AM,1,1,0,0,,
MGC6,3/7/22,PM,1,1,0,0,,
MGC1,4/7/22,AM,0,0,0,0,,
MGC1,4/7/22,PM,0,0,0,0,,
MGC2,4/7/22,AM,0,1,0,0,,
MGC2,4/7/22,PM,0,1,0,0,,
MGC3,4/7/22,AM,0,0,0,0,,
MGC3,4/7/22,PM,0,1,0,0,,
MGC4,4/7/22,AM,1,1,0,0,,
MGC4,4/7/22,PM,1,1,0,0,,
MGC5,4/7/22,AM,1,1,0,0,,
MGC5,4/7/22,PM,1,1,0,0,,
MGC6,4/7/22,AM,0,1,0,0,,
MGC6,4/7/22,PM,1,0,0,0,,
MGC1,5/7/22,AM,0,0,0,0,,
MGC1,5/7/22,PM,0,0,0,0,,
MGC2,5/7/22,AM,1,1,0,0,,
MGC2,5/7/22,PM,1,1,0,0,,
MGC3,5/7/22,AM,0,1,0,0,,
MGC3,5/7/22,PM,1,1,0,0,,
MGC4,5/7/22,AM,1,1,0,0,,
MGC4,5/7/22,PM,1,1,0,0,,
MGC5,5/7/22,AM,1,1,0,0,,
MGC5,5/7/22,PM,0,1,0,0,,
MGC6,5/7/22,AM,0,0,0,0,,
MGC6,5/7/22,PM,0,1,0,0,,
MGC1,6/7/22,AM,0,0,0,0,,
MGC1,6/7/22,PM,0,0,0,0,,
MGC2,6/7/22,AM,0,0,0,0,,
MGC2,6/7/22,PM,1,1,0,0,,
MGC3,6/7/22,AM,1,1,0,0,,
MGC3,6/7/22,PM,1,1,0,0,,
MGC4,6/7/22,AM,1,1,0,0,,
MGC4,6/7/22,PM,1,1,0,0,,
MGC5,6/7/22,AM,0,1,0,0,,
MGC5,6/7/22,PM,0,0,0,0,,
MGC6,6/7/22,AM,1,0,0,0,,
MGC6,6/7/22,PM,1,1,0,0,,
MGC1,7/7/22,AM,0,0,0,0,,
MGC1,7/7/22,PM,0,0,0,0,,
MGC2,7/7/22,AM,0,1,0,0,,
MGC2,7/7/22,PM,0,1,0,0,,
MGC3,7/7/22,AM,0,0,0,0,,
MGC3,7/7/22,PM,0,0,0,0,,
MGC4,7/7/22,AM,1,1,0,0,,
MGC4,7/7/22,PM,0,1,0,0,,
MGC5,7/7/22,AM,1,1,0,0,,
MGC5,7/7/22,PM,1,1,0,0,,
MGC6,7/7/22,AM,0,0,0,0,,
MGC6,7/7/22,PM,0,0,0,0,,
MGC1,8/7/22,AM,0,0,0,0,,
MGC1,8/7/22,PM,0,0,0,0,,
MGC2,8/7/22,AM,0,1,0,0,,
MGC2,8/7/22,PM,0,1,0,0,,
MGC3,8/7/22,AM,1,0,0,0,,
MGC3,8/7/22,PM,1,1,0,0,,
MGC4,8/7/22,AM,1,1,0,0,,
MGC4,8/7/22,PM,1,1,0,0,,
MGC5,8/7/22,AM,0,1,0,0,,
MGC5,8/7/22,PM,1,1,0,0,,
MGC6,8/7/22,AM,0,0,0,0,,
MGC6,8/7/22,PM,1,1,0,0,,
MGC1,9/7/22,AM,0,0,0,0,,
MGC1,9/7/22,PM,0,0,0,0,,
MGC2,9/7/22,AM,1,1,0,0,,
MGC2,9/7/22,PM,1,1,0,0,,
MGC3,9/7/22,AM,1,1,0,0,,
MGC3,9/7/22,PM,1,1,0,0,,
MGC4,9/7/22,AM,1,1,0,0,,
MGC4,9/7/22,PM,1,1,0,0,,
MGC5,9/7/22,AM,1,1,0,0,,
MGC5,9/7/22,PM,1,1,0,0,,
MGC6,9/7/22,AM,1,1,0,0,,
MGC6,9/7/22,PM,1,1,0,0,,
MGC1,10/7/22,AM,0,0,0,0,,
MGC1,10/7/22,PM,0,0,0,0,,
MGC2,10/7/22,AM,1,1,0,0,,
MGC2,10/7/22,PM,1,1,0,0,,
MGC3,10/7/22,AM,1,1,0,0,,
MGC3,10/7/22,PM,1,1,0,0,,
MGC4,10/7/22,AM,1,1,0,0,,
MGC4,10/7/22,PM,1,1,0,0,,
MGC5,10/7/22,AM,1,1,0,0,,
MGC5,10/7/22,PM,1,1,0,0,,
MGC6,10/7/22,AM,0,1,0,0,,
